alert_count,machine_entity_count,machine_entity_ratio,device_context_count,device_context_ratio,vm_resource_count,dominant_category_code,max_suspicion_score,max_verdict_score,max_severity_score,unique_entity_types,has_process_entity,has_file_entity,has_machine_entity
14,14,1.0,14,1.0,0,1,0,0,0,6,0,0,0
34,34,1.0,34,1.0,0,1,1,2,2,10,1,1,1
510,510,1.0,510,1.0,0,6,1,1,1,4,0,0,0
18,18,1.0,18,1.0,0,1,0,0,0,6,0,0,1
58,58,1.0,58,1.0,0,1,0,2,2,5,0,0,0
30,30,1.0,30,1.0,0,4,1,1,1,4,1,0,1
57,57,1.0,57,1.0,0,7,0,0,0,4,0,1,1
7,7,1.0,7,1.0,0,8,1,2,2,4,1,1,1
4,4,1.0,4,1.0,0,2,0,0,0,4,0,1,1
37,37,1.0,37,1.0,0,1,0,2,2,8,1,1,1
22,22,1.0,22,1.0,0,1,0,0,0,5,0,0,0
31,31,1.0,31,1.0,0,1,1,2,2,10,1,1,1
17,17,1.0,17,1.0,0,3,0,0,0,3,0,0,1
25,25,1.0,25,1.0,0,4,1,1,1,4,1,0,1
224,224,1.0,224,1.0,0,6,0,0,0,6,0,1,1
41,41,1.0,41,1.0,0,3,0,0,0,8,0,1,0
11,11,1.0,11,1.0,0,3,1,1,1,5,1,0,1
3,3,1.0,3,1.0,0,3,0,0,0,3,0,0,0
5,5,1.0,5,1.0,0,4,1,1,1,4,1,0,1
7,7,1.0,7,1.0,0,1,0,0,0,6,0,0,0
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
3,3,1.0,3,1.0,0,3,0,0,0,3,0,0,0
143,143,1.0,143,1.0,0,1,0,0,0,8,0,0,1
3,3,1.0,3,1.0,0,3,0,0,0,3,0,0,0
10,10,1.0,10,1.0,0,1,0,0,0,3,0,0,0
24,24,1.0,24,1.0,0,4,1,1,1,6,1,1,1
85,85,1.0,85,1.0,0,2,0,0,0,5,0,1,1
33,33,1.0,33,1.0,0,1,0,2,2,9,0,0,0
17,17,1.0,17,1.0,0,1,1,2,2,7,1,0,1
95,95,1.0,95,1.0,0,7,0,0,0,9,0,1,1
8,8,1.0,8,1.0,0,1,0,0,0,5,0,0,0
8,8,1.0,8,1.0,0,4,1,1,1,6,1,0,1
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
132,132,1.0,132,1.0,0,6,0,2,2,7,0,1,0
6,6,1.0,6,1.0,0,3,1,1,1,5,1,0,1
12,12,1.0,12,1.0,0,1,0,0,0,4,0,0,0
60,60,1.0,60,1.0,0,5,0,0,0,3,0,1,0
15,15,1.0,15,1.0,0,1,0,2,2,7,0,1,0
118,118,1.0,118,1.0,0,2,0,0,0,6,0,1,1
45,45,1.0,45,1.0,0,1,0,2,2,9,0,1,0
14,14,1.0,14,1.0,0,1,0,2,2,5,0,1,0
13,13,1.0,13,1.0,0,2,0,0,0,7,0,1,0
25,25,1.0,25,1.0,0,1,1,2,2,11,1,1,1
8,8,1.0,8,1.0,0,1,0,2,2,5,0,0,0
3,3,1.0,3,1.0,0,1,0,0,0,3,0,0,0
2,2,1.0,2,1.0,0,1,0,0,0,2,0,0,0
5,5,1.0,5,1.0,0,4,1,1,1,4,1,0,1
77,77,1.0,77,1.0,0,1,0,2,2,8,0,0,1
11,11,1.0,11,1.0,0,2,0,0,0,2,0,0,0
34,34,1.0,34,1.0,0,1,0,0,0,5,0,0,0
27,27,1.0,27,1.0,0,4,1,1,1,10,1,0,1
6,6,1.0,6,1.0,0,3,1,1,1,5,1,0,1
489,489,1.0,489,1.0,0,1,0,0,0,7,0,0,1
3,3,1.0,3,1.0,0,1,0,0,0,3,0,0,0
78,78,1.0,78,1.0,0,8,1,2,2,2,0,1,1
55,55,1.0,55,1.0,0,1,0,0,0,4,0,0,0
24,24,1.0,24,1.0,0,3,1,1,1,5,1,0,1
7,7,1.0,7,1.0,0,1,0,0,0,5,0,0,0
25,25,1.0,25,1.0,0,4,1,1,1,4,1,0,1
3,3,1.0,3,1.0,0,3,0,0,0,3,0,0,0
47,47,1.0,47,1.0,0,3,1,1,1,8,1,0,1
39,39,1.0,39,1.0,0,1,1,2,2,11,1,1,1
52,52,1.0,52,1.0,0,1,1,2,2,8,1,1,1
64,64,1.0,64,1.0,0,9,0,0,0,8,0,0,1
19,19,1.0,19,1.0,0,1,0,0,0,7,0,0,0
34,34,1.0,34,1.0,0,1,0,2,2,10,1,1,1
98,98,1.0,98,1.0,0,2,0,0,0,4,0,1,1
57,57,1.0,57,1.0,0,1,0,0,0,7,0,1,0
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
81,81,1.0,81,1.0,0,1,0,2,2,7,0,1,0
47,47,1.0,47,1.0,0,1,1,2,2,9,0,1,1
10,10,1.0,10,1.0,0,1,0,0,0,7,0,0,0
5,5,1.0,5,1.0,0,4,1,1,1,4,1,0,1
7,7,1.0,7,1.0,0,1,0,0,0,6,0,0,0
15,15,1.0,15,1.0,0,1,0,0,0,9,0,1,1
24,24,1.0,24,1.0,0,1,0,2,2,9,0,0,1
75,75,1.0,75,1.0,0,4,1,2,2,7,1,0,1
19,19,1.0,19,1.0,0,1,0,0,0,7,0,0,1
36,36,1.0,36,1.0,0,3,1,1,1,5,1,0,1
220,220,1.0,220,1.0,0,4,1,1,1,8,1,1,1
3,3,1.0,3,1.0,0,3,0,0,0,3,0,0,0
11,11,1.0,11,1.0,0,9,1,1,1,5,1,1,1
103,103,1.0,103,1.0,0,2,0,0,0,4,0,1,0
206,206,1.0,206,1.0,0,4,0,0,0,1,0,0,0
4,4,1.0,4,1.0,0,1,0,0,0,3,0,0,0
17,17,1.0,17,1.0,0,9,1,1,1,6,1,1,1
138,138,1.0,138,1.0,0,1,0,0,0,5,0,1,0
2,2,1.0,2,1.0,0,5,0,0,0,2,0,1,0
14,14,1.0,14,1.0,0,1,1,1,1,9,1,1,1
2219,2219,1.0,2219,1.0,0,1,0,2,2,10,0,1,0
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
18,18,1.0,18,1.0,0,2,0,0,0,5,0,1,1
90,90,1.0,90,1.0,0,2,1,2,2,8,0,1,1
18,18,1.0,18,1.0,0,1,0,1,1,5,0,0,0
9,9,1.0,9,1.0,0,1,0,2,2,5,0,1,0
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
13,13,1.0,13,1.0,0,1,0,0,0,6,0,0,0
11,11,1.0,11,1.0,0,1,0,2,2,4,0,1,0
5,5,1.0,5,1.0,0,4,1,1,1,4,1,0,1
6,6,1.0,6,1.0,0,3,1,1,1,5,1,0,1
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
32,32,1.0,32,1.0,0,1,1,1,1,9,1,1,1
3,3,1.0,3,1.0,0,3,0,0,0,3,0,0,0
32,32,1.0,32,1.0,0,3,1,1,1,5,1,0,1
42,42,1.0,42,1.0,0,5,0,0,0,3,0,1,0
453,453,1.0,453,1.0,0,1,1,1,1,5,1,0,1
2,2,1.0,2,1.0,0,1,0,0,0,2,0,0,0
58,58,1.0,58,1.0,0,1,0,0,0,8,0,1,0
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
38,38,1.0,38,1.0,0,5,0,0,0,9,1,1,1
62,62,1.0,62,1.0,0,11,0,2,2,8,0,1,1
14,14,1.0,14,1.0,0,4,1,1,1,7,1,0,1
504,504,1.0,504,1.0,0,6,0,0,0,4,0,0,0
168,168,1.0,168,1.0,0,3,0,0,0,3,0,1,0
8,8,1.0,8,1.0,0,1,0,1,1,5,0,0,0
346,346,1.0,346,1.0,0,6,1,1,1,11,1,1,1
2,2,1.0,2,1.0,0,3,0,0,0,2,0,0,0
13,13,1.0,13,1.0,0,1,0,1,1,6,0,1,0
12,12,1.0,12,1.0,0,1,0,2,2,6,0,0,0
5,5,1.0,5,1.0,0,4,1,1,1,4,1,0,1
10,10,1.0,10,1.0,0,1,0,2,2,4,0,0,0
15,15,1.0,15,1.0,0,4,0,0,0,7,0,1,0
1792,1792,1.0,1792,1.0,0,1,0,0,0,4,0,0,0
3,3,1.0,3,1.0,0,1,0,0,0,3,0,0,0
76,76,1.0,76,1.0,0,2,0,0,0,4,0,1,0
26,26,1.0,26,1.0,0,1,0,2,2,8,0,0,0
41,41,1.0,41,1.0,0,1,1,2,2,11,1,1,1
3,3,1.0,3,1.0,0,5,0,0,0,3,0,1,0
817,817,1.0,817,1.0,0,1,1,2,2,10,1,1,1
34,34,1.0,34,1.0,0,8,1,2,2,2,0,1,1
51,51,1.0,51,1.0,0,2,0,0,0,3,0,1,0
87,87,1.0,87,1.0,0,2,1,2,2,11,1,1,1
3,3,1.0,3,1.0,0,1,0,0,0,3,0,0,0
47,47,1.0,47,1.0,0,3,1,2,2,10,1,1,1
5281,5281,1.0,5281,1.0,0,1,0,2,2,10,0,1,0
6,6,1.0,6,1.0,0,3,1,1,1,5,1,0,1
89,89,1.0,89,1.0,0,3,1,1,1,5,1,0,1
13,13,1.0,13,1.0,0,1,1,2,2,8,1,0,1
20,20,1.0,20,1.0,0,8,1,2,2,5,1,1,1
31,31,1.0,31,1.0,0,1,1,2,2,7,1,0,1
184,184,1.0,184,1.0,0,4,1,1,1,5,1,0,1
22,22,1.0,22,1.0,0,4,1,2,2,5,1,1,1
36,36,1.0,36,1.0,0,1,0,0,0,5,0,0,0
106,106,1.0,106,1.0,0,1,0,0,0,7,0,1,0
8,8,1.0,8,1.0,0,1,0,0,0,5,0,0,0
18,18,1.0,18,1.0,0,2,0,0,0,7,0,0,0
26,26,1.0,26,1.0,0,1,0,2,2,5,0,0,0
227,227,1.0,227,1.0,0,3,1,1,1,5,1,0,1
21,21,1.0,21,1.0,0,1,1,2,2,8,1,1,1
24,24,1.0,24,1.0,0,3,1,0,1,5,1,0,1
47,47,1.0,47,1.0,0,1,0,2,2,11,1,1,1
29,29,1.0,29,1.0,0,10,0,0,0,3,0,0,1
3,3,1.0,3,1.0,0,5,0,0,0,3,0,1,0
44,44,1.0,44,1.0,0,2,0,0,0,2,0,0,0
366,366,1.0,366,1.0,0,1,0,2,2,6,0,1,0
309,309,1.0,309,1.0,0,1,0,2,2,8,0,0,0
7,7,1.0,7,1.0,0,1,1,2,2,6,1,0,1
42,42,1.0,42,1.0,0,1,0,2,2,9,0,1,0
34,34,1.0,34,1.0,0,7,0,0,0,2,0,0,1
93,93,1.0,93,1.0,0,9,0,0,0,1,0,0,1
27,27,1.0,27,1.0,0,1,0,2,2,5,0,0,0
22,22,1.0,22,1.0,0,1,0,2,2,5,0,1,0
170,170,1.0,170,1.0,0,6,0,0,0,3,0,0,1
60,60,1.0,60,1.0,0,2,1,2,2,10,1,0,1
54,54,1.0,54,1.0,0,1,1,2,2,11,1,1,1
247,247,1.0,247,1.0,0,6,0,0,0,7,0,0,1
34,34,1.0,34,1.0,0,3,1,1,1,7,1,1,1
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
38,38,1.0,38,1.0,0,4,1,1,1,5,1,0,1
77,77,1.0,77,1.0,0,1,1,2,2,11,1,1,1
10,10,1.0,10,1.0,0,7,0,0,0,5,0,0,1
15,15,1.0,15,1.0,0,3,1,1,1,6,1,1,1
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
108,108,1.0,108,1.0,0,4,1,1,1,8,1,0,1
42,42,1.0,42,1.0,0,3,1,2,2,11,1,1,1
80,80,1.0,80,1.0,0,2,0,0,0,4,0,1,0
130,130,1.0,130,1.0,0,11,0,0,0,6,0,1,1
80,80,1.0,80,1.0,0,13,1,1,1,8,1,1,1
25,25,1.0,25,1.0,0,4,1,1,1,4,1,0,1
32,32,1.0,32,1.0,0,1,1,2,2,11,1,0,1
5,5,1.0,5,1.0,0,4,1,1,1,4,1,0,1
6,6,1.0,6,1.0,0,3,1,1,1,5,1,0,1
59,59,1.0,59,1.0,0,7,0,0,0,9,0,1,1
23,23,1.0,23,1.0,0,1,1,2,2,9,1,1,1
4,4,1.0,4,1.0,0,8,1,2,2,2,0,1,1
10,10,1.0,10,1.0,0,1,0,2,2,5,0,0,0
6,6,1.0,6,1.0,0,3,1,1,1,5,1,0,1
44,44,1.0,44,1.0,0,7,0,0,0,1,0,0,0
18,18,1.0,18,1.0,0,1,0,1,1,5,0,0,0
9,9,1.0,9,1.0,0,2,0,0,0,5,0,0,0
12,12,1.0,12,1.0,0,1,0,0,0,7,0,1,1
18,18,1.0,18,1.0,0,4,1,1,1,6,1,0,1
14,14,1.0,14,1.0,0,1,0,0,0,6,0,0,0
15,15,1.0,15,1.0,0,2,0,0,0,6,0,1,1
100,100,1.0,100,1.0,0,2,0,0,0,4,0,1,0
24,24,1.0,24,1.0,0,3,1,1,1,5,1,0,1
20,20,1.0,20,1.0,0,3,1,1,1,5,1,0,1
10,10,1.0,10,1.0,0,3,1,1,1,8,1,1,1
505,505,1.0,505,1.0,0,6,1,1,1,5,1,0,1
5,5,1.0,5,1.0,0,4,1,1,1,4,1,0,1
15,15,1.0,15,1.0,0,4,1,1,1,4,1,0,1
3,3,1.0,3,1.0,0,3,0,0,0,3,0,0,0
15,15,1.0,15,1.0,0,1,0,0,0,4,0,0,0
31,31,1.0,31,1.0,0,1,1,2,2,10,1,0,1
3,3,1.0,3,1.0,0,1,0,0,0,3,0,0,0
12,12,1.0,12,1.0,0,2,0,0,0,2,0,0,0
105,105,1.0,105,1.0,0,2,0,0,0,2,0,0,0
316,316,1.0,316,1.0,0,5,1,2,2,11,1,1,1
7,7,1.0,7,1.0,0,2,0,0,0,2,0,0,0
168,168,1.0,168,1.0,0,8,1,2,2,8,1,1,1
12,12,1.0,12,1.0,0,1,0,2,2,7,1,0,1
11,11,1.0,11,1.0,0,8,1,2,2,4,1,1,1
94,94,1.0,94,1.0,0,2,1,2,2,11,1,1,1
19,19,1.0,19,1.0,0,2,0,0,0,5,0,0,0
38,38,1.0,38,1.0,0,1,0,2,2,6,0,0,0
212,212,1.0,212,1.0,0,4,0,0,0,5,0,0,1
11,11,1.0,11,1.0,0,1,0,0,0,5,0,0,0
25,25,1.0,25,1.0,0,1,0,0,0,8,0,1,0
6,6,1.0,6,1.0,0,3,0,0,0,5,1,1,1
6,6,1.0,6,1.0,0,1,0,0,0,4,0,0,0
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
15,15,1.0,15,1.0,0,1,0,2,2,7,0,0,0
25,25,1.0,25,1.0,0,1,1,1,1,9,1,1,1
16,16,1.0,16,1.0,0,1,1,2,2,7,1,0,1
6,6,1.0,6,1.0,0,3,0,0,0,3,0,0,0
4,4,1.0,4,1.0,0,6,0,0,0,3,0,0,0
49,49,1.0,49,1.0,0,1,0,2,2,7,0,1,0
27,27,1.0,27,1.0,0,1,0,2,2,5,0,0,0
35,35,1.0,35,1.0,0,1,0,2,2,5,0,1,0
30,30,1.0,30,1.0,0,1,1,2,2,10,1,1,1
130,130,1.0,130,1.0,0,1,2,2,2,10,1,1,1
24,24,1.0,24,1.0,0,3,1,1,1,7,1,0,1
18,18,1.0,18,1.0,0,3,1,1,1,5,1,0,1
30,30,1.0,30,1.0,0,1,1,2,2,11,1,1,1
39,39,1.0,39,1.0,0,1,0,2,2,12,1,1,1
3590,3590,1.0,3590,1.0,0,1,0,2,2,5,0,0,0
24,24,1.0,24,1.0,0,1,0,2,2,4,0,0,0
29,29,1.0,29,1.0,0,1,0,2,2,7,0,1,0
4,4,1.0,4,1.0,0,2,0,0,0,4,0,1,1
220,220,1.0,220,1.0,0,10,0,2,2,5,0,1,0
3,3,1.0,3,1.0,0,1,0,0,0,3,0,0,0
718,718,1.0,718,1.0,0,4,1,1,1,5,1,0,1
27,27,1.0,27,1.0,0,1,0,0,0,6,0,0,0
23,23,1.0,23,1.0,0,1,1,2,2,7,1,0,1
25,25,1.0,25,1.0,0,1,0,2,2,9,1,1,1
33,33,1.0,33,1.0,0,8,1,2,2,8,1,1,1
9,9,1.0,9,1.0,0,1,0,2,2,5,0,1,0
27,27,1.0,27,1.0,0,3,1,1,1,5,1,0,1
511,511,1.0,511,1.0,0,5,0,2,2,8,0,1,1
3,3,1.0,3,1.0,0,2,0,0,0,2,0,0,0
19,19,1.0,19,1.0,0,1,1,2,2,8,1,1,1
4,4,1.0,4,1.0,0,2,0,0,0,4,0,1,1
8,8,1.0,8,1.0,0,1,0,0,0,8,1,0,1
51,51,1.0,51,1.0,0,1,0,2,2,6,0,1,0
14,14,1.0,14,1.0,0,3,1,1,1,5,1,0,1
12,12,1.0,12,1.0,0,1,0,0,0,6,0,1,0
11,11,1.0,11,1.0,0,3,1,1,1,5,1,0,1
22,22,1.0,22,1.0,0,1,0,0,0,8,0,0,0
4,4,1.0,4,1.0,0,2,0,0,0,4,0,1,1
14,14,1.0,14,1.0,0,2,0,0,0,6,0,1,1
14,14,1.0,14,1.0,0,1,0,2,2,5,0,0,0
20,20,1.0,20,1.0,0,4,1,1,1,10,1,1,1
3,3,1.0,3,1.0,0,1,0,0,0,3,0,0,0
5,5,1.0,5,1.0,0,5,0,0,0,4,1,1,1
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
143,143,1.0,143,1.0,0,3,0,0,0,5,0,0,0
12,12,1.0,12,1.0,0,2,0,0,0,2,0,0,0
5,5,1.0,5,1.0,0,11,0,0,0,4,0,0,0
24,24,1.0,24,1.0,0,4,1,1,1,9,1,0,1
16,16,1.0,16,1.0,0,2,0,0,0,3,0,1,0
4,4,1.0,4,1.0,0,1,0,0,0,3,0,0,0
13,13,1.0,13,1.0,0,1,0,2,2,7,0,1,1
5,5,1.0,5,1.0,0,2,0,0,0,4,0,1,1
36,36,1.0,36,1.0,0,2,0,0,0,2,0,0,0
5,5,1.0,5,1.0,0,3,0,0,0,4,0,0,0
173,173,1.0,173,1.0,0,1,1,2,2,9,1,1,1
3,3,1.0,3,1.0,0,1,0,0,0,3,0,0,0
3,3,1.0,3,1.0,0,3,0,0,0,3,0,0,0
8,8,1.0,8,1.0,0,4,1,2,2,6,1,0,1
70,70,1.0,70,1.0,0,2,0,0,0,3,0,1,0
47,47,1.0,47,1.0,0,5,1,1,1,5,1,1,1
4,4,1.0,4,1.0,0,3,0,0,0,4,1,1,1
8,8,1.0,8,1.0,0,5,0,0,0,2,0,1,0
11,11,1.0,11,1.0,0,1,0,2,2,5,0,1,0
95,95,1.0,95,1.0,0,1,1,2,2,10,0,1,1
6,6,1.0,6,1.0,0,3,1,1,1,5,1,0,1
9,9,1.0,9,1.0,0,2,0,0,0,6,0,1,1
44,44,1.0,44,1.0,0,6,0,0,0,7,1,1,1
18,18,1.0,18,1.0,0,1,0,0,0,9,1,0,1
306,306,1.0,306,1.0,0,2,0,0,0,4,0,1,0
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
4,4,1.0,4,1.0,0,1,0,0,0,3,0,0,0
14,14,1.0,14,1.0,0,3,1,1,1,9,1,1,1
8,8,1.0,8,1.0,0,15,0,0,0,4,0,1,0
37,37,1.0,37,1.0,0,2,0,0,0,3,0,1,0
262,262,1.0,262,1.0,0,4,0,0,0,2,0,0,0
19,19,1.0,19,1.0,0,1,1,1,1,9,1,0,1
28,28,1.0,28,1.0,0,1,1,1,1,11,1,1,1
22,22,1.0,22,1.0,0,1,0,2,2,7,0,1,0
21,21,1.0,21,1.0,0,1,1,1,1,8,1,1,1
19,19,1.0,19,1.0,0,1,1,2,2,7,1,0,1
5,5,1.0,5,1.0,0,1,0,0,0,5,0,0,0
13,13,1.0,13,1.0,0,1,0,2,2,5,0,0,0
8,8,1.0,8,1.0,0,1,0,0,0,5,0,0,0
164,164,1.0,164,1.0,0,6,1,1,1,8,1,1,1
145,145,1.0,145,1.0,0,3,1,1,1,5,1,0,1
11,11,1.0,11,1.0,0,3,1,1,1,5,1,0,1
75,75,1.0,75,1.0,0,8,1,2,2,5,1,1,1
15,15,1.0,15,1.0,0,1,0,2,2,5,0,0,0
13,13,1.0,13,1.0,0,2,0,0,0,4,0,1,0
66,66,1.0,66,1.0,0,2,0,2,2,7,0,1,1
27,27,1.0,27,1.0,0,2,0,2,2,8,0,1,0
306,306,1.0,306,1.0,0,6,0,0,0,7,0,0,0
11,11,1.0,11,1.0,0,1,0,2,2,5,0,0,0
12,12,1.0,12,1.0,0,1,0,2,2,5,0,1,0
32,32,1.0,32,1.0,0,1,0,1,1,6,0,1,0
17,17,1.0,17,1.0,0,1,0,0,0,9,0,1,1
22,22,1.0,22,1.0,0,1,1,1,1,8,1,0,1
20,20,1.0,20,1.0,0,1,0,1,1,6,0,0,0
315,315,1.0,315,1.0,0,7,0,2,2,7,0,1,0
2,2,1.0,2,1.0,0,2,0,0,0,2,0,0,0
56,56,1.0,56,1.0,0,1,0,2,2,5,0,0,0
5,5,1.0,5,1.0,0,4,1,1,1,4,1,0,1
14,14,1.0,14,1.0,0,3,1,1,1,6,1,0,1
221,221,1.0,221,1.0,0,9,1,2,2,8,1,1,1
884,884,1.0,884,1.0,0,1,0,2,2,7,0,0,0
8,8,1.0,8,1.0,0,4,1,1,1,6,1,0,1
156,156,1.0,156,1.0,0,3,1,2,2,10,1,1,1
5,5,1.0,5,1.0,0,4,1,1,1,4,1,0,1
330,330,1.0,330,1.0,0,6,0,2,2,9,0,1,0
140,140,1.0,140,1.0,0,2,0,0,0,3,0,1,0
20,20,1.0,20,1.0,0,2,1,1,1,6,1,0,1
134,134,1.0,134,1.0,0,2,0,0,0,4,0,1,0
38,38,1.0,38,1.0,0,1,1,2,2,9,1,0,1
12,12,1.0,12,1.0,0,4,1,1,1,5,1,0,1
11,11,1.0,11,1.0,0,1,0,2,2,5,0,0,0
12,12,1.0,12,1.0,0,1,0,2,2,5,0,0,0
23,23,1.0,23,1.0,0,2,0,0,0,4,0,1,0
185,185,1.0,185,1.0,0,2,0,0,0,4,0,1,0
130,130,1.0,130,1.0,0,3,1,1,1,5,1,0,1
66,66,1.0,66,1.0,0,2,0,0,0,4,0,1,0
40,40,1.0,40,1.0,0,4,1,2,2,8,1,0,1
2,2,1.0,2,1.0,0,2,0,0,0,2,0,0,0
36,36,1.0,36,1.0,0,2,0,0,0,6,0,0,1
34,34,1.0,34,1.0,0,1,1,2,2,8,1,1,1
6,6,1.0,6,1.0,0,1,0,0,0,3,0,0,0
13,13,1.0,13,1.0,0,7,0,0,0,5,0,0,1
10,10,1.0,10,1.0,0,2,0,0,0,3,0,1,0
12,12,1.0,12,1.0,0,3,1,1,1,5,1,0,1
10,10,1.0,10,1.0,0,1,0,0,0,5,0,0,0
30,30,1.0,30,1.0,0,1,0,2,2,7,0,0,0
8,8,1.0,8,1.0,0,3,0,0,0,5,0,0,0
8,8,1.0,8,1.0,0,2,0,0,0,2,0,0,0
4,4,1.0,4,1.0,0,3,0,0,0,4,1,1,1
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
61,61,1.0,61,1.0,0,1,0,2,2,9,0,1,0
17,17,1.0,17,1.0,0,2,0,0,0,7,0,1,0
